Столбец1;Wk;Day;Date;Time;Home;Score;Away;Столбец3;Столбец2;Referee;Столбец4;Notes
;25;Sun;17.04.2022;18:00:00;Arsenal Tula;1–2;Rostov;;;Evgeny Kukulyak;;
;25;Sun;17.04.2022;19:00:00;Nizhny Novgorod;0–0;FC Khimki;;;Artem Chistyakov;;
;26;Sat;23.04.2022;16:00:00;Ural;2–1;Ufa;;;Sergey Ivanov;;
;26;Sat;23.04.2022;16:30:00;Loko Moscow;2–1;Nizhny Novgorod;;;Evgeny Turbin;;
;26;Sat;23.04.2022;19:00:00;Sochi;3–2;Akhmat Grozny;;;Kirill Levnikov;;
;26;Sun;24.04.2022;14:00:00;Rubin Kazan;1–0;Arsenal Tula;;;Artem Chistyakov;;
;26;Sun;24.04.2022;14:00:00;FC Khimki;4–1;Samara;;;Aleksey Matyunin;;
;26;Sun;24.04.2022;16:30:00;Rostov;3–2;Spartak Moscow;;;Vitaly Meshkov;;
;26;Sun;24.04.2022;19:30:00;CSKA Moscow;1–0;Dynamo Mosc;;;Sergey Karasev;;
;26;Mon;25.04.2022;19:00:00;Krasnodar;1–3;Zenit;;;Evgeny Kukulyak;;
;27;Sat;30.04.2022;14:00:00;Dynamo Mosc;2–3;Ural;;;Pavel Kukuyan;;
;27;Sat;30.04.2022;14:00:00;Rubin Kazan;0–6;Sochi;;;Yan Bobrovskiy;;
;27;Sat;30.04.2022;16:30:00;Krasnodar;2–1;Rostov;;;Vladislav Bezborodov;;
;27;Sat;30.04.2022;19:30:00;Zenit;3–1;Loko Moscow;;;Vladimir Moskalev;;
;27;Sun;01.05.2022;14:00:00;Spartak Moscow;2–1;Samara;;;Evgeny Turbin;;
;27;Sun;01.05.2022;16:30:00;FC Khimki;1–1;Ufa;;;Kirill Levnikov;;
;27;Sun;01.05.2022;19:00:00;Akhmat Grozny;2–0;CSKA Moscow;;;Vitaly Meshkov;;
;27;Mon;02.05.2022;19:00:00;Arsenal Tula;2–2;Nizhny Novgorod;;;Sergey Karasev;;
;19;Wed;04.05.2022;19:00:00;Krasnodar;1–0;Loko Moscow;;;Artem Chistyakov;;
;28;Fri;06.05.2022;18:00:00;Samara;5–2;Dynamo Mosc;;;Vasiliy Kazartsev;;
;28;Sat;07.05.2022;16:00:00;Ural;1–3;Spartak Moscow;;;Vladimir Moskalev;;
;28;Sat;07.05.2022;16:30:00;Zenit;1–0;FC Khimki;;;Aleksey Amelin;;
;28;Sat;07.05.2022;16:30:00;Nizhny Novgorod;0–1;Akhmat Grozny;;;Yan Bobrovskiy;;
;28;Sat;07.05.2022;19:00:00;CSKA Moscow;0–1;Sochi;;;Vladislav Bezborodov;;
